,EEM,EFA,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EWZ,EZU,IJR,IWM,IYR,OIH,QQQ,SMH,SPY,TLI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLY
2004-01-02,14.078310012817383,29.732942581176758,6.609519004821777,11.588350296020508,6.468618392944336,31.70076560974121,15.708123207092285,17.48899269104004,13.106189727783203,21.450754165649414,11.229839324951172,19.8335018157959,18.61871337890625,45.3299674987793,25.851810455322266,15.418067932128906,31.908039093017578,30.201032638549805,81.18997955322266,5.04011869430542,18.687685012817383,20.011932373046875,12.671879768371582,19.54059600830078,16.275922775268555,14.499446868896484,13.245431900024414,25.233152389526367
2004-01-05,14.572284698486328,30.305274963378906,6.67836856842041,11.822532653808594,6.6776933670043945,32.35438537597656,15.896729469299316,17.814739227294922,13.75340747833252,21.575946807861328,11.890799522399902,20.225797653198242,18.845474243164062,45.86020278930664,25.86225700378418,15.605185508728027,32.54866027832031,31.295265197753906,82.07318115234375,5.009957313537598,19.067628860473633,20.397066116333008,12.775639533996582,19.730587005615234,16.673288345336914,14.593771934509277,13.268202781677246,25.45137596130371
2004-01-06,14.407628059387207,30.350799560546875,6.727548599243164,11.921878814697266,6.6776933670043945,32.06025314331055,16.00450325012207,17.75857162475586,13.81505012512207,21.24208641052246,11.793600082397461,20.35120391845703,18.801225662231445,45.79948425292969,25.90928077697754,15.572760581970215,32.76805114746094,31.477630615234375,82.15350341796875,5.026714324951172,18.898765563964844,20.37526512145996,12.77112865447998,19.701366424560547,16.824281692504883,14.627460479736328,13.239741325378418,25.54837417602539
2004-01-07,14.441231727600098,30.047298431396484,6.653780937194824,11.708988189697266,6.690362453460693,31.79880714416504,16.03144645690918,17.646249771118164,13.96915054321289,21.325550079345703,11.676959991455078,19.98463249206543,18.94917106628418,46.28521728515625,25.79434585571289,15.318281173706055,33.06641387939453,31.849695205688477,82.43085479736328,5.043468952178955,18.800256729125977,20.16453742980957,12.780141830444336,19.730587005615234,16.903762817382812,14.56682300567627,13.308045387268066,25.661523818969727
2004-01-08,14.495834350585938,30.478708267211914,6.752137184143066,11.950263023376465,6.639678478240967,32.06025314331055,16.098804473876953,17.882129669189453,14.146361351013184,21.48413848876953,11.813041687011719,20.46696662902832,19.000335693359375,46.637359619140625,25.84659194946289,15.655070304870605,33.329681396484375,32.69588088989258,82.75934600830078,5.04681921005249,19.0113468170166,20.222665786743164,12.825262069702148,19.854825973510742,17.23754119873047,14.546605110168457,13.302356719970703,25.580692291259766
2004-01-09,14.469795227050781,30.285764694213867,6.69804048538208,11.836724281311035,6.671357154846191,31.79880714416504,16.098804473876953,17.814739227294922,14.10013198852539,21.78461456298828,11.858399391174316,20.319046020507812,18.831645965576172,46.26496887207031,25.870088577270508,16.263813018798828,33.110294342041016,32.64483642578125,82.03670501708984,5.056870937347412,18.68064308166504,20.324399948120117,12.780141830444336,19.65751838684082,17.007076263427734,14.438809394836426,13.256823539733887,25.475629806518555
2004-01-12,14.457192420959473,30.27708625793457,6.7718071937561035,11.772855758666992,6.8550896644592285,32.02756881713867,16.0853328704834,17.80350112915039,14.10013198852539,22.3271427154541,12.137041091918945,20.306190490722656,19.039043426513672,47.13118362426758,25.89620590209961,16.149065017700195,33.6368522644043,33.367042541503906,82.64251708984375,5.0937371253967285,18.645465850830078,20.382530212402344,12.834282875061035,19.72329330444336,17.26932144165039,14.506182670593262,13.251123428344727,25.419052124023438
2004-01-13,14.374863624572754,30.101486206054688,6.722630023956299,11.652216911315918,6.785396099090576,31.537355422973633,15.829370498657227,17.781036376953125,14.077021598815918,21.868083953857422,11.942642211914062,20.174348831176758,19.065311431884766,46.93284606933594,25.92234230041504,16.079200744628906,33.30337142944336,32.53538131713867,82.1607666015625,5.076979160308838,18.40623664855957,20.389795303344727,12.77112865447998,19.642898559570312,17.022960662841797,14.485969543457031,13.188515663146973,25.378631591796875
2004-01-14,14.397544860839844,30.361652374267578,6.776727199554443,11.886398315429688,6.918444633483887,31.76612663269043,16.422128677368164,17.80350112915039,14.077021598815918,22.118478775024414,11.625121116638184,20.360851287841797,19.18422508239746,47.175697326660156,26.118209838867188,15.827239036560059,33.41743850708008,32.46247863769531,82.846923828125,5.076979160308838,18.483646392822266,20.33892822265625,12.87037181854248,19.913286209106445,17.229585647583008,14.539873123168945,13.34788990020752,25.580692291259766
2004-01-15,14.10351276397705,30.177371978759766,6.688206195831299,11.779952049255371,6.886764049530029,31.537355422973633,16.3817138671875,17.69117546081543,14.169474601745605,21.943204879760742,11.339999198913574,20.257953643798828,19.207725524902344,47.29713439941406,26.086868286132812,15.560267448425293,33.505184173583984,32.91472625732422,83.0512924194336,5.030064582824707,18.34291648864746,19.997407913208008,12.978639602661133,19.942522048950195,17.301118850708008,14.553345680236816,13.302356719970703,25.653430938720703
2004-01-16,14.164000511169434,30.068979263305664,6.589847087860107,11.68060302734375,6.8360795974731445,32.02756881713867,16.193113327026367,17.500225067138672,14.223411560058594,22.051706314086914,11.385358810424805,20.081098556518555,19.204959869384766,47.56023025512695,25.89620590209961,15.89707088470459,33.84745788574219,33.060638427734375,83.37973022460938,5.060223579406738,18.33588218688965,20.186328887939453,13.019243240356445,20.31520652770996,17.52364158630371,14.546605110168457,13.279582977294922,25.653430938720703
2004-01-20,14.57564640045166,30.394163131713867,6.658698558807373,11.829626083374023,7.0324859619140625,32.15830612182617,16.32782745361328,17.657482147216797,14.42374324798584,22.35218620300293,11.676959991455078,20.354421615600586,19.409595489501953,48.13096237182617,25.90928077697754,16.580659866333008,33.821128845214844,32.980377197265625,83.35784912109375,5.066928863525391,18.40623664855957,20.694988250732422,13.00119400024414,20.066741943359375,17.56338119506836,14.499446868896484,13.376351356506348,25.467540740966797
2004-01-21,14.594970703125,30.76271629333496,6.732466220855713,12.10638427734375,7.235221862792969,32.19098663330078,16.32782745361328,18.050621032714844,14.554726600646973,22.769514083862305,11.469603538513184,20.72420883178711,19.495311737060547,48.06620788574219,25.95628547668457,16.645532608032227,33.68070983886719,32.20709991455078,84.0147705078125,5.04681921005249,18.42031478881836,20.81852149963379,13.195175170898438,20.205598831176758,17.428279876708984,14.56008243560791,13.609726905822754,25.782758712768555
2004-01-22,14.558006286621094,30.782217025756836,6.801314830780029,12.120577812194824,7.2478928565979,32.45243453979492,16.422128677368164,17.971988677978516,14.446857452392578,23.178495407104492,11.262239456176758,20.756362915039062,19.357053756713867,47.795013427734375,26.0764217376709,16.412996292114258,33.4788703918457,31.7110652923584,83.79582214355469,5.033417224884033,18.230342864990234,20.7167911529541,13.195175170898438,20.110597610473633,17.26137924194336,14.51292610168457,13.660951614379883,25.98481559753418
2004-01-23,14.533639907836914,30.452686309814453,6.75705623626709,12.007035255432129,7.216216087341309,31.929527282714844,16.43560218811035,17.578853607177734,14.685708999633789,22.702743530273438,11.417759895324707,20.45088768005371,19.524356842041016,48.05404281616211,26.248807907104492,17.004331588745117,33.35600280761719,31.324432373046875,83.52574157714844,5.052929878234863,17.8785343170166,20.898448944091797,13.132022857666016,20.037525177001953,17.20574378967285,14.634194374084473,13.541419982910156,25.90399169921875
2004-01-26,14.63025188446045,30.55024528503418,6.776727199554443,11.964457511901855,7.336592197418213,32.45243453979492,16.556848526000977,17.444059371948242,14.731942176818848,23.203535079956055,11.754718780517578,20.511981964111328,19.697175979614258,48.53167724609375,26.593568801879883,17.20892333984375,33.86499786376953,31.91535758972168,84.57682800292969,5.046200752258301,18.04740333557129,21.021984100341797,13.312466621398926,20.29328727722168,17.52364158630371,14.775686264038086,13.46173095703125,25.952484130859375
2004-01-27,14.556317329406738,30.415836334228516,6.752137184143066,11.992840766906738,7.203543186187744,31.994892120361328,16.368240356445312,17.601314544677734,14.647189140319824,22.36053466796875,11.605679512023926,20.59558868408203,19.412351608276367,47.924537658691406,26.852134704589844,17.203933715820312,33.11906433105469,30.894033432006836,83.7082290649414,5.01255989074707,17.99815559387207,20.978382110595703,13.222247123718262,20.095975875854492,17.253437042236328,14.70157241821289,13.416193008422852,25.774673461914062
2004-01-28,14.350502967834473,30.025611877441406,6.560344219207764,11.765758514404297,6.918444633483887,31.37395477294922,16.368240356445312,17.39912986755371,14.42374324798584,22.3271427154541,11.210397720336914,20.084314346313477,19.149660110473633,47.175697326660156,26.752891540527344,17.11163330078125,32.55744171142578,30.63871192932129,82.7520523071289,5.019288539886475,17.850393295288086,20.680458068847656,12.987667083740234,19.781749725341797,16.967334747314453,14.553345680236816,13.467428207397461,25.16041374206543
2004-01-29,14.124512672424316,30.06463623046875,6.496411323547363,11.708988189697266,6.842415809631348,31.570032119750977,16.368240356445312,17.39912986755371,14.077021598815918,22.285411834716797,10.633678436279297,20.174348831176758,19.034896850585938,46.73045349121094,26.810348510742188,17.065961837768555,32.680294036865234,30.500158309936523,82.83231353759766,5.052929878234863,17.737823486328125,20.665924072265625,13.095932006835938,19.789052963256836,16.87991714477539,14.755476951599121,13.575569152832031,25.322067260742188
2004-01-30,14.105195045471191,29.986597061157227,6.52100133895874,11.666410446166992,6.8994364738464355,31.570032119750977,16.462543487548828,17.410364151000977,14.154067039489746,22.185251235961914,10.34207820892334,20.097171783447266,19.076374053955078,46.79117965698242,26.982728958129883,16.906248092651367,32.53110122680664,30.609540939331055,82.83231353759766,5.039470195770264,17.948894500732422,20.469722747802734,13.104950904846191,19.752525329589844,16.887863159179688,14.674628257751465,13.552802085876465,25.305896759033203
2004-02-02,14.10855484008789,29.917217254638672,6.5062479972839355,11.567060470581055,6.722039699554443,31.76612663269043,16.368240356445312,17.29804229736328,14.616366386413574,22.310457229614258,10.419839859008789,20.048938751220703,19.033510208129883,46.912620544433594,27.319656372070312,17.11336898803711,32.443363189697266,30.208288192749023,83.19000244140625,5.032745361328125,17.86446762084961,20.585983276367188,13.181640625,19.715986251831055,16.887863159179688,14.73526382446289,13.47311019897461,25.233152389526367
2004-02-03,14.029582977294922,29.971418380737305,6.525918960571289,11.687699317932129,6.791733741760254,31.60271644592285,16.22005271911621,17.387897491455078,14.531610488891602,21.97658920288086,10.659600257873535,20.097171783447266,19.01968765258789,46.64952087402344,27.275249481201172,17.028526306152344,32.408241271972656,30.470935821533203,83.0512924194336,5.046200752258301,17.76595687866211,20.506067276000977,13.195175170898438,19.642898559570312,16.91170883178711,14.809375762939453,13.5926513671875,25.095752716064453
2004-02-04,13.903566360473633,29.646230697631836,6.452150821685791,11.545771598815918,6.785396099090576,30.68764877319336,15.964088439941406,17.48899269104004,14.446857452392578,21.709495544433594,10.497602462768555,19.962125778198242,18.65052032470703,45.495933532714844,26.81816864013672,16.95865821838379,31.88170051574707,29.611339569091797,82.37246704101562,5.056292533874512,17.646358489990234,20.36073112487793,13.08691120147705,19.54790496826172,16.49844741821289,14.89695930480957,13.370657920837402,25.063419342041016
2004-02-05,13.899367332458496,29.769800186157227,6.501328945159912,11.645122528076172,6.848752498626709,30.981767654418945,16.2335262298584,17.432832717895508,14.416033744812012,22.035011291503906,10.173598289489746,20.016786575317383,18.80674934387207,45.920936584472656,26.852134704589844,16.66033172607422,32.00457763671875,29.69889259338379,82.61335754394531,5.120209217071533,17.87150764465332,20.17906951904297,13.0823974609375,19.730587005615234,16.522287368774414,14.991294860839844,13.290966987609863,25.25739860534668
2004-02-06,14.216085433959961,30.331283569335938,6.629190444946289,11.836724281311035,7.026148319244385,31.341279983520508,16.449071884155273,17.69117546081543,14.716529846191406,22.652660369873047,10.529998779296875,20.425159454345703,19.204959869384766,47.082618713378906,27.450244903564453,16.772676467895508,32.58376693725586,31.012351989746094,83.54037475585938,5.052929878234863,18.230342864990234,20.317127227783203,13.303443908691406,19.818288803100586,16.871971130371094,15.105836868286133,13.404814720153809,25.524120330810547
2004-02-09,14.421067237854004,30.522071838378906,6.707876682281494,11.964457511901855,7.1718668937683105,30.981767654418945,16.502962112426758,17.837202072143555,14.870628356933594,22.903057098388672,10.59480094909668,20.60523796081543,19.28791618347168,47.175697326660156,27.418895721435547,17.162097930908203,32.57497787475586,30.71318244934082,83.56224822998047,5.126939296722412,18.244417190551758,20.56418800354004,13.249309539794922,19.767135620117188,16.744810104370117,15.126038551330566,13.4844970703125,25.556447982788086
2004-02-10,14.408464431762695,30.654306411743164,6.776727199554443,12.056709289550781,7.1718668937683105,31.243227005004883,16.691566467285156,17.960758209228516,14.824406623840332,23.120073318481445,10.756799697875977,20.682403564453125,19.48148536682129,47.742374420166016,27.60694694519043,17.531553268432617,32.62763214111328,30.81534767150879,83.83232879638672,5.147124767303467,18.34291648864746,20.840320587158203,13.28991413116455,19.752525329589844,16.87991714477539,15.186681747436523,13.59833812713623,25.774673461914062
2004-02-11,14.631930351257324,31.001182556152344,6.830822467803955,12.23411750793457,7.203543186187744,31.439321517944336,16.637678146362305,18.151710510253906,14.924565315246582,23.662599563598633,11.177999496459961,21.010387420654297,19.66676902770996,48.0338134765625,27.78978729248047,17.711286544799805,32.978668212890625,31.343706130981445,84.72281646728516,5.110118389129639,18.79322052001953,21.123714447021484,13.492916107177734,19.971750259399414,17.015018463134766,15.166470527648926,13.586958885192871,26.03331184387207
2004-02-12,14.624366760253906,30.73019027709961,6.884917259216309,12.141867637634277,7.159196376800537,31.145185470581055,16.489486694335938,17.90459442138672,15.1788330078125,23.403852462768555,11.229839324951172,20.91391944885254,19.583803176879883,47.705955505371094,27.445024490356445,17.963407516479492,32.68907165527344,30.949649810791016,84.416259765625,5.1303019523620605,18.7369384765625,21.189117431640625,13.470357894897461,19.95713996887207,16.856069564819336,15.193426132202148,13.547110557556152,25.90399169921875
2004-02-13,14.63444995880127,30.691158294677734,6.9095072746276855,11.879300117492676,7.140188217163086,31.37395477294922,16.67809295654297,17.949525833129883,15.32522964477539,23.504011154174805,10.944719314575195,20.640605926513672,19.34322166442871,47.21617126464844,27.280467987060547,17.861064910888672,32.41701889038086,30.533647537231445,84.03672790527344,5.157214641571045,18.58917999267578,21.138242721557617,13.443285942077637,19.862138748168945,16.75275993347168,15.099093437194824,13.530033111572266,25.64535903930664
2004-02-17,14.928483963012695,31.283004760742188,7.022613525390625,12.049614906311035,7.241557598114014,31.896848678588867,16.987945556640625,18.432519912719727,15.494736671447754,23.754413604736328,10.912321090698242,21.087568283081055,19.61284065246582,48.045963287353516,27.319656372070312,18.063264846801758,32.855812072753906,31.029878616333008,84.79580688476562,5.100024700164795,18.786190032958984,21.31991195678711,13.542539596557617,20.015592575073242,16.99911880493164,15.233848571777344,13.632493019104004,25.976728439331055
2004-02-18,14.725180625915527,30.849422454833984,7.002943992614746,11.921878814697266,7.1845383644104,31.570032119750977,16.82628059387207,18.185409545898438,15.517847061157227,23.3287353515625,10.730879783630371,20.78852081298828,19.576892852783203,47.69380569458008,27.33270835876465,17.738750457763672,32.952327728271484,31.175880432128906,84.42357635498047,5.076473712921143,18.708784103393555,21.09464454650879,13.470357894897461,19.913286209106445,16.919647216796875,15.213641166687012,13.67802619934082,25.823165893554688
2004-02-19,14.596649169921875,31.05537223815918,7.007863998413086,11.985745429992676,7.146523952484131,31.439321517944336,16.974472045898438,18.466218948364258,15.332930564880371,23.27030372619629,10.212480545043945,20.82389259338379,19.246448516845703,46.85189437866211,27.280467987060547,17.72376251220703,32.4521369934082,30.56283950805664,84.10971069335938,5.076473712921143,18.828397750854492,21.07284927368164,13.465848922729492,19.759830474853516,16.66533660888672,15.287752151489258,13.586958885192871,25.847412109375
2004-02-20,14.432829856872559,30.675992965698242,6.801314830780029,11.716086387634277,7.140188217163086,31.07982635498047,16.839757919311523,18.23033905029297,15.070960998535156,22.869670867919922,10.4327974319458,20.579511642456055,19.17453956604004,46.77093505859375,27.28569793701172,17.718765258789062,32.34683609008789,30.32199478149414,83.854248046875,5.051153659820557,18.66657257080078,21.065587997436523,13.429754257202148,19.72329330444336,16.585872650146484,15.40903091430664,13.456039428710938,25.653430938720703
2004-02-23,14.306817054748535,30.76271629333496,6.7914814949035645,11.687699317932129,7.0324859619140625,31.275903701782227,16.90711212158203,18.275264739990234,14.824406623840332,22.711088180541992,10.335600852966309,20.563430786132812,18.956085205078125,46.0666389465332,27.296142578125,17.666584014892578,31.987031936645508,29.519262313842773,83.64253997802734,5.061283588409424,18.673612594604492,21.232707977294922,13.429754257202148,19.65021514892578,16.363346099853516,15.496611595153809,13.507272720336914,25.467540740966797
2004-02-24,14.231204986572266,30.643470764160156,6.855410575866699,11.602544784545898,7.06416130065918,30.916412353515625,16.556848526000977,18.421295166015625,14.90915298461914,22.42730140686035,10.374481201171875,20.54734992980957,19.011388778686523,46.062591552734375,27.351001739501953,17.94126319885254,31.908039093017578,29.679824829101562,83.4965591430664,5.064659595489502,18.758047103881836,21.26903533935547,13.375624656677246,19.65021514892578,16.37923812866211,15.40229320526123,13.433274269104004,25.516036987304688
2004-02-25,14.38662052154541,30.415836334228516,6.806233882904053,11.552870750427246,7.000807285308838,30.818370819091797,16.81281280517578,18.3314266204834,14.98620891571045,22.585891723632812,10.659600257873535,20.383359909057617,19.257497787475586,46.71022415161133,27.520751953125,17.991958618164062,32.10110855102539,30.184844970703125,83.84693908691406,5.115304470062256,18.786190032958984,21.37077522277832,13.434266090393066,19.599063873291016,16.506393432617188,15.449454307556152,13.56988525390625,25.653430938720703
2004-02-26,14.458037376403809,30.42667579650879,6.7914814949035645,11.46771240234375,7.051490306854248,30.9490966796875,16.866695404052734,18.30896759033203,15.101780891418457,22.51076889038086,10.614239692687988,20.322267532348633,19.370878219604492,46.993560791015625,27.45285987854004,18.166757583618164,32.18008041381836,30.316242218017578,83.89804077148438,5.145693302154541,18.786190032958984,21.44344139099121,13.447803497314453,19.613670349121094,16.546131134033203,15.449454307556152,13.660951614379883,25.81508445739746
2004-02-27,14.663017272949219,30.675992965698242,6.860328674316406,11.510289192199707,7.152859210968018,31.73344612121582,17.028362274169922,18.24156951904297,15.171123504638672,23.053293228149414,10.821599960327148,20.434810638427734,19.424802780151367,47.23641586303711,27.468528747558594,18.17173957824707,32.09232711791992,29.84917449951172,83.95638275146484,5.182834148406982,18.884695053100586,21.545175552368164,13.47938346862793,19.606367111206055,16.45870590209961,15.510087013244629,13.808952331542969,25.855499267578125
2004-03-01,14.997373580932617,31.087886810302734,6.943930625915527,11.666410446166992,7.1718668937683105,32.71388626098633,17.850141525268555,18.477453231811523,15.641131401062012,23.30369758605957,11.25576114654541,20.637388229370117,19.805036544799805,47.9852409362793,27.94648551940918,18.66118621826172,32.51356506347656,30.542438507080078,84.78853607177734,5.189591407775879,19.194278717041016,21.95935821533203,13.57412052154541,19.708667755126953,16.657390594482422,15.685272216796875,13.877251625061035,26.017141342163086
2004-03-02,14.87807846069336,30.589271545410156,6.894753932952881,11.552870750427246,7.013476371765137,32.35438537597656,17.78278160095215,18.174175262451172,15.4716215133667,23.48731803894043,11.242798805236816,20.24509048461914,19.688888549804688,47.6047477722168,28.12409210205078,18.730632781982422,32.13621139526367,30.469449996948242,84.29218292236328,5.199716567993164,18.955053329467773,21.770429611206055,13.506447792053223,19.642898559570312,16.593809127807617,15.530296325683594,13.81463623046875,25.944400787353516
2004-03-03,14.785674095153809,30.524234771728516,6.75705623626709,11.425135612487793,6.95012092590332,32.256343841552734,17.715423583984375,18.084314346313477,15.294405937194824,23.3287353515625,11.190960884094238,20.158275604248047,19.723451614379883,47.65331268310547,28.259904861450195,18.605737686157227,31.960689544677734,29.907535552978516,84.44544219970703,5.081542015075684,18.84248161315918,21.741363525390625,13.587651252746582,19.63559913635254,16.514339447021484,15.611154556274414,13.808952331542969,25.968650817871094
2004-03-04,14.886480331420898,30.621797561645508,6.7619733810424805,11.552870750427246,7.019810676574707,32.19098663330078,17.99833106994629,18.106779098510742,15.702768325805664,23.787803649902344,11.016000747680664,20.354421615600586,19.89352035522461,48.256431579589844,28.33827018737793,18.563262939453125,32.25906753540039,30.40378761291504,84.6644515991211,5.101799488067627,18.948015213012695,21.675968170166016,13.623736381530762,19.708667755126953,16.657390594482422,15.577472686767578,13.905714988708496,26.07371711730957
