,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2004-01-02,23.711196899414062,12.37795639038086,25.851810455322266,15.418067932128906,30.201032638549805,18.687685012817383,20.011932373046875,12.671879768371582,19.54059600830078,16.275922775268555,14.499446868896484,13.245431900024414,23.318336486816406,25.233152389526367
2004-01-05,23.714441299438477,12.641854286193848,25.86225700378418,15.605185508728027,31.295265197753906,19.067628860473633,20.397066116333008,12.775639533996582,19.730587005615234,16.673288345336914,14.593771934509277,13.268202781677246,23.42635726928711,25.45137596130371
2004-01-06,23.8022403717041,12.60917854309082,25.90928077697754,15.572760581970215,31.477630615234375,18.898765563964844,20.37526512145996,12.77112865447998,19.701366424560547,16.824281692504883,14.627460479736328,13.239741325378418,23.495805740356445,25.54837417602539
2004-01-07,24.179428100585938,12.473461151123047,25.79434585571289,15.318281173706055,31.849695205688477,18.800256729125977,20.16453742980957,12.780141830444336,19.730587005615234,16.903762817382812,14.56682300567627,13.308045387268066,23.64241600036621,25.661523818969727
2004-01-08,24.34201431274414,12.460894584655762,25.84659194946289,15.655070304870605,32.69588088989258,19.0113468170166,20.222665786743164,12.825262069702148,19.854825973510742,17.23754119873047,14.546605110168457,13.302356719970703,23.542104721069336,25.580692291259766
2004-01-09,24.4395694732666,12.566451072692871,25.870088577270508,16.263813018798828,32.64483642578125,18.68064308166504,20.324399948120117,12.780141830444336,19.65751838684082,17.007076263427734,14.438809394836426,13.256823539733887,23.395496368408203,25.475629806518555
2004-01-12,24.501344680786133,12.541318893432617,25.89620590209961,16.149065017700195,33.367042541503906,18.645465850830078,20.382530212402344,12.834282875061035,19.72329330444336,17.26932144165039,14.506182670593262,13.251123428344727,23.356916427612305,25.419052124023438
2004-01-13,24.283485412597656,12.5840425491333,25.92234230041504,16.079200744628906,32.53538131713867,18.40623664855957,20.389795303344727,12.77112865447998,19.642898559570312,17.022960662841797,14.485969543457031,13.188515663146973,23.25660514831543,25.378631591796875
2004-01-14,24.420053482055664,12.561427116394043,26.118209838867188,15.827239036560059,32.46247863769531,18.483646392822266,20.33892822265625,12.87037181854248,19.913286209106445,17.229585647583008,14.539873123168945,13.34788990020752,23.387781143188477,25.580692291259766
2004-01-15,24.647666931152344,12.352825164794922,26.086868286132812,15.560267448425293,32.91472625732422,18.34291648864746,19.997407913208008,12.978639602661133,19.942522048950195,17.301118850708008,14.553345680236816,13.302356719970703,23.44951057434082,25.653430938720703
2004-01-16,25.115909576416016,12.463412284851074,25.89620590209961,15.89707088470459,33.060638427734375,18.33588218688965,20.186328887939453,13.019243240356445,20.31520652770996,17.52364158630371,14.546605110168457,13.279582977294922,23.503524780273438,25.653430938720703
2004-01-20,25.135419845581055,12.717248916625977,25.90928077697754,16.580659866333008,32.980377197265625,18.40623664855957,20.694988250732422,13.00119400024414,20.066741943359375,17.56338119506836,14.499446868896484,13.376351356506348,23.42635726928711,25.467540740966797
2004-01-21,25.424821853637695,12.83034896850586,25.95628547668457,16.645532608032227,32.20709991455078,18.42031478881836,20.81852149963379,13.195175170898438,20.205598831176758,17.428279876708984,14.56008243560791,13.609726905822754,23.819887161254883,25.782758712768555
