,DBA,DBB,DBC,DBE,DBO,DGL,GLD,GSG,IAU,SLV,UNG,USO
2008-01-02,32.45586013793945,21.438995361328125,31.517152786254883,35.18021011352539,35.03655242919922,31.692138671875,84.86000061035156,54.65999984741211,8.48900032043457,15.180000305175781,1224.0,78.47000122070312
2008-01-03,33.22283935546875,22.477294921875,31.760112762451172,34.948883056640625,35.065914154052734,31.965349197387695,85.56999969482422,54.65999984741211,8.557000160217285,15.28499984741211,1194.239990234375,78.37000274658203
2008-01-04,33.572349548339844,21.938919067382812,31.575464248657227,34.75611877441406,34.703800201416016,31.770200729370117,85.12999725341797,54.29999923706055,8.526000022888184,15.166999816894531,1208.0,77.30999755859375
2008-01-07,33.12575149536133,22.0446720123291,31.00206756591797,33.93685531616211,33.86214065551758,31.594568252563477,84.7699966430664,52.68000030517578,8.491999626159668,15.053000450134277,1217.5999755859375,75.5
2008-01-08,33.49467849731445,22.833011627197266,31.283905029296875,34.21636962890625,34.067665100097656,32.228797912597656,86.77999877929688,53.70000076293945,8.687999725341797,15.59000015258789,1228.800048828125,76.05999755859375
2008-01-09,33.358760833740234,22.313859939575195,30.97291374206543,33.907936096191406,33.7740592956543,32.31661605834961,86.55000305175781,53.5,8.684000015258789,15.520000457763672,1256.0,75.25
2008-01-10,33.49467849731445,22.265790939331055,30.82713508605957,33.54167556762695,33.25536346435547,32.902061462402344,88.25,52.7599983215332,8.836000442504883,16.06100082397461,1280.3199462890625,74.0199966430664
2008-01-11,35.38785934448242,22.092741012573242,31.108970642089844,33.14649963378906,32.775814056396484,33.05818176269531,88.58000183105469,52.650001525878906,8.868000030517578,16.07699966430664,1260.47998046875,73.08999633789062
2008-01-14,35.32960510253906,22.38115882873535,31.497713088989258,33.76335906982422,33.27493667602539,33.331390380859375,89.54000091552734,53.36000061035156,8.96500015258789,16.280000686645508,1292.1600341796875,74.25
2008-01-15,35.51407241821289,21.756254196166992,31.108970642089844,33.107948303222656,32.70730209350586,32.814247131347656,87.98999786376953,52.38999938964844,8.824999809265137,15.833999633789062,1261.1199951171875,72.77999877929688
2008-01-16,35.368438720703125,21.285173416137695,30.81741714477539,32.616390228271484,32.09074020385742,32.277591705322266,86.69999694824219,51.349998474121094,8.670000076293945,15.654000282287598,1256.9599609375,71.8499984741211
2008-01-17,36.40726089477539,21.189037322998047,30.418956756591797,32.35615158081055,31.777565002441406,32.180015563964844,86.5,51.099998474121094,8.67199993133545,15.717000007629395,1246.4000244140625,71.02999877929688
2008-01-18,35.51407241821289,21.775482177734375,30.535579681396484,32.62602615356445,32.129886627197266,32.44346237182617,87.41999816894531,51.45000076293945,8.76200008392334,16.030000686645508,1228.800048828125,71.54000091552734
2008-01-22,34.60145950317383,21.458223342895508,30.42867660522461,32.24049377441406,31.738418579101562,32.7264289855957,88.16999816894531,50.470001220703125,8.829999923706055,15.902000427246094,1188.47998046875,70.55000305175781
2008-01-23,33.290802001953125,20.86216163635254,29.855283737182617,31.87423324584961,31.102279663085938,32.5800666809082,87.88999938964844,49.86000061035156,8.793999671936035,15.899999618530273,1189.760009765625,69.5
2008-01-24,34.465538024902344,21.304401397705078,30.593891143798828,32.45253372192383,31.718843460083008,33.4484748840332,90.08000183105469,50.72999954223633,9.02400016784668,16.299999237060547,1220.47998046875,70.93000030517578
2008-01-25,35.31990051269531,21.53513526916504,31.274187088012695,32.97300720214844,32.364768981933594,33.4484748840332,90.30000305175781,51.790000915527344,9.03600025177002,16.29800033569336,1237.760009765625,71.91000366210938
2008-01-28,35.98978805541992,21.66011619567871,31.419967651367188,33.2043342590332,32.6877326965332,34.06319808959961,91.75,52.2599983215332,9.197999954223633,16.549999237060547,1260.1600341796875,72.3499984741211
2008-01-29,35.64999008178711,22.525367736816406,31.682363510131836,33.41637420654297,32.65836715698242,33.770477294921875,91.1500015258789,52.5099983215332,9.130999565124512,16.534000396728516,1241.5999755859375,72.9800033569336
2008-01-30,35.7082405090332,22.25617790222168,31.410247802734375,33.47420883178711,32.74645233154297,34.131500244140625,92.05999755859375,52.5099983215332,9.1899995803833,16.674999237060547,1256.3199462890625,73.08000183105469
2008-01-31,35.91212463378906,23.313705444335938,31.565744400024414,33.55131530761719,32.65836715698242,33.8875617980957,91.4000015258789,52.5,9.149999618530273,16.81800079345703,1256.9599609375,72.3499984741211
2008-02-01,36.164546966552734,22.909921646118164,31.01178741455078,32.4718132019043,31.875431060791016,33.12648391723633,89.3499984741211,51.52000045776367,8.930000305175781,16.618999481201172,1205.760009765625,70.47000122070312
2008-02-04,36.8926887512207,22.986833572387695,31.5560245513916,33.001930236816406,32.286476135253906,32.95085144042969,89.0999984741211,52.0,8.904999732971191,16.514999389648438,1228.1600341796875,71.37000274658203
2008-02-05,36.776187896728516,22.217721939086914,31.293624877929688,32.385066986083984,31.718843460083008,32.51176452636719,87.68000030517578,51.43000030517578,8.779000282287598,16.16699981689453,1243.8399658203125,70.1500015258789
2008-02-06,36.98006820678711,22.592662811279297,31.147846221923828,32.221214294433594,31.200145721435547,32.97036361694336,88.94999694824219,51.2400016784668,8.907999992370605,16.375,1246.719970703125,69.0199966430664
2008-02-07,36.970359802246094,22.813783645629883,31.526866912841797,32.58747482299805,31.669910430908203,33.292354583740234,89.8499984741211,51.63999938964844,8.98900032043457,16.670000076293945,1276.800048828125,69.80000305175781
2008-02-08,37.892677307128906,23.352163314819336,32.469566345214844,33.60914611816406,32.79538345336914,33.682655334472656,91.0,53.619998931884766,9.100000381469727,17.025999069213867,1296.0,72.9000015258789
2008-02-11,37.63054275512695,23.304092407226562,32.683372497558594,34.43804931640625,33.75448989868164,33.82901382446289,91.33000183105469,54.130001068115234,9.151000022888184,17.399999618530273,1332.1600341796875,74.55000305175781
2008-02-12,36.72764587402344,23.429073333740234,32.02251434326172,34.00432205200195,33.147708892822266,33.08745193481445,89.33000183105469,53.5,8.951000213623047,17.033000946044922,1307.8399658203125,73.58999633789062
