,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2004-01-02,6.609519004821777,10.992694854736328,11.588350296020508,6.468618392944336,24.57122039794922,31.70076560974121,11.05606460571289,11.079745292663574,15.343039512634277,6.907295227050781,15.708123207092285,17.48899269104004,13.106189727783203,21.450754165649414,11.229839324951172,18.16779327392578
2004-01-05,6.67836856842041,11.045654296875,11.822532653808594,6.6776933670043945,25.13410758972168,32.35438537597656,11.242949485778809,11.1664400100708,15.637262344360352,7.0864176750183105,15.896729469299316,17.814739227294922,13.75340747833252,21.575946807861328,11.890799522399902,18.7498722076416
2004-01-06,6.727548599243164,11.022956848144531,11.921878814697266,6.6776933670043945,25.391077041625977,32.06025314331055,11.325178146362305,11.149100303649902,15.686301231384277,7.0864176750183105,16.00450325012207,17.75857162475586,13.81505012512207,21.24208641052246,11.793600082397461,18.560062408447266
2004-01-07,6.653780937194824,11.030523300170898,11.708988189697266,6.690362453460693,24.840423583984375,31.79880714416504,11.205572128295898,11.426525115966797,15.593673706054688,7.120000839233398,16.03144645690918,17.646249771118164,13.96915054321289,21.325550079345703,11.676959991455078,18.253206253051758
2004-01-08,6.752137184143066,11.07591724395752,11.950263023376465,6.639678478240967,25.219770431518555,32.06025314331055,11.414883613586426,11.599922180175781,15.795269966125488,7.175976276397705,16.098804473876953,17.882129669189453,14.146361351013184,21.48413848876953,11.813041687011719,18.132991790771484
2004-01-09,6.69804048538208,11.113746643066406,11.836724281311035,6.671357154846191,25.219770431518555,31.79880714416504,11.347603797912598,11.66927719116211,15.773472785949707,7.209561824798584,16.098804473876953,17.814739227294922,14.10013198852539,21.78461456298828,11.858399391174316,17.993803024291992
2004-01-12,6.7718071937561035,11.106181144714355,11.772855758666992,6.8550896644592285,25.2075252532959,32.02756881713867,11.123343467712402,11.73863410949707,15.849752426147461,7.142392158508301,16.0853328704834,17.80350112915039,14.10013198852539,22.3271427154541,12.137041091918945,17.63317108154297
2004-01-13,6.722630023956299,11.121309280395508,11.652216911315918,6.785396099090576,25.146343231201172,31.537355422973633,11.340129852294922,11.547901153564453,15.795269966125488,7.16478157043457,15.829370498657227,17.781036376953125,14.077021598815918,21.868083953857422,11.942642211914062,17.731237411499023
2004-01-14,6.776727199554443,11.060786247253418,11.886398315429688,6.918444633483887,25.036218643188477,31.76612663269043,11.467209815979004,11.547901153564453,15.773472785949707,7.175976276397705,16.422128677368164,17.80350112915039,14.077021598815918,22.118478775024414,11.625121116638184,17.52244758605957
2004-01-15,6.688206195831299,11.022956848144531,11.779952049255371,6.886764049530029,25.085161209106445,31.537355422973633,11.355079650878906,11.547901153564453,15.66450309753418,7.075221538543701,16.3817138671875,17.69117546081543,14.169474601745605,21.943204879760742,11.339999198913574,16.987815856933594
2004-01-16,6.589847087860107,10.98513126373291,11.68060302734375,6.8360795974731445,24.71806526184082,32.02756881713867,11.130819320678711,11.530563354492188,15.419321060180664,7.064026355743408,16.193113327026367,17.500225067138672,14.223411560058594,22.051706314086914,11.385358810424805,17.161808013916016
2004-01-20,6.658698558807373,11.30288028717041,11.829626083374023,7.0324859619140625,25.24424171447754,32.15830612182617,11.265376091003418,11.755973815917969,15.702643394470215,7.0864176750183105,16.32782745361328,17.657482147216797,14.42374324798584,22.35218620300293,11.676959991455078,17.648984909057617
2004-01-21,6.732466220855713,11.272618293762207,12.10638427734375,7.235221862792969,25.684762954711914,32.19098663330078,11.497111320495605,11.70395565032959,15.947827339172363,7.287927627563477,16.32782745361328,18.050621032714844,14.554726600646973,22.769514083862305,11.469603538513184,17.493972778320312
2004-01-22,6.801314830780029,11.2196626663208,12.120577812194824,7.2478928565979,25.62357521057129,32.45243453979492,11.467209815979004,11.755973815917969,15.996865272521973,7.377485752105713,16.422128677368164,17.971988677978516,14.446857452392578,23.178495407104492,11.262239456176758,17.60786247253418
2004-01-23,6.75705623626709,11.045654296875,12.007035255432129,7.216216087341309,25.280942916870117,31.929527282714844,11.497111320495605,11.73863410949707,15.784369468688965,7.321512699127197,16.43560218811035,17.578853607177734,14.685708999633789,22.702743530273438,11.417759895324707,17.528772354125977
2004-01-26,6.776727199554443,11.07591724395752,11.964457511901855,7.336592197418213,25.293184280395508,32.45243453979492,11.399932861328125,11.894686698913574,15.675398826599121,7.33270788192749,16.556848526000977,17.444059371948242,14.731942176818848,23.203535079956055,11.754718780517578,17.63633155822754
